id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
Eilhay9o,True,1503499756914.0,1503500956626.0,116,outoftime,black,10+0,brodskay,1975,kaksefc,1907,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Nge7 a3 Nf5 b4 b6 Bb2 Bd7 g3 Be7 Bg2 h5 h4 c4 a4 g6 O-O a6 Re1 g5 hxg5 Bxg5 Bc1 Be7 Bf4 h4 g4 Nh6 Bh3 f5 g5 Rg8 Kh1 Nf7 Nxh4 Nxg5 Qh5+ Nf7 Ng6 Qc7 Bxf5 O-O-O Bh3 Nh8 Rg1 Nxg6 Rxg6 Rh8 Qg4 Kb7 Nd2 Rh4 Qg3 Rdh8 Kh2 Qd8 Nf3 R4h5 Ng1 Qf8 Kg2 Bh4 Qg4 Be7 b5 axb5 axb5 Na5 Rg7 Rh4 Qg6 Rxf4 f3 Be8 Qg5 Rf7 Rg6 Bxg5 Rxg5 Re7 Rf1 Rg8 Rg3 Rxg3+ Kxg3 Rg7+ Bg4 Qe7 Nh3 Bh5 Rg1 Bxg4 fxg4 Nb3 Rg2 Qa3 Nf4 Qc1 Nh5 Qxc3+ Kh2 Re7 g5 Qxd4 Ng3 Qxe5 g6 Rg7,C02,French Defense: Advance Variation |  Paulsen Attack,9
hnDZdM8h,True,1503341958542.0,1503343083924.0,101,outoftime,white,10+0,kaksefc,1953,limuchi,1886,d4 Nf6 Bf4 g6 c3 Bg7 Nd2 d6 e4 Nbd7 Ngf3 Nh5 Bg5 h6 Bh4 g5 Bg3 Nf4 Bxf4 gxf4 Bd3 e5 Qc2 c6 Nc4 Qe7 O-O-O b5 Na5 c5 dxc5 dxc5 Bxb5 O-O Bc4 Nb6 Bb3 Ba6 Rhg1 c4 Ba4 Qc5 Nc6 Nxa4 Qxa4 Bb5 Rd5 Qxc6 Qxb5 Qxb5 Rxb5 f5 Nxe5 fxe4 Nxc4 e3 fxe3 Rac8 Nd6 Rcd8 Nb7 Rb8 Rb4 fxe3 Re1 Rbe8 Re2 Rf2 Kd1 Rf1+ Kc2 Rf2 Kd3 Rd8+ Kxe3 Rxe2+ Kxe2 Re8+ Kd3 Re1 Rg4 Rb1 Kc2 Ra1 a3 Rf1 Nd6 Kh7 c4 Be5 c5 Rf2+ Kb3 Rxb2+ Kc4 Bxh2 Ne4 Rc2+ Nc3 Be5 Rd4,A45,Indian Game,2
80v4kknA,False,1504446473827.0,1504447789759.0,128,outoftime,black,9+0,mika2012,1776,kerilka,1718,e4 b6 Nf3 Bb7 Nc3 Nc6 d4 e6 e5 d6 Bb5 d5 O-O a6 Bxc6+ Bxc6 a4 f6 exf6 Nxf6 Bg5 Bd6 Ne5 Bb7 Bxf6 Qxf6 Qh5+ Ke7 Ng4 Qg6 Qh4+ Kd7 Rac1 Rae8 Rfe1 Rhf8 Ne5+ Bxe5 Rxe5 Rf5 f4 c5 Ne2 Ref8 c3 c4 Rf1 h6 Ng3 R5f6 Nh5 R6f7 Rfe1 Re7 f5 Rxf5 Rxf5 Qxf5 Ng3 Qc2 Qf4 Qxb2 Nf5 exf5 Rxe7+ Kxe7 Qc7+ Kf6 Qxb7 Qc1+ Kf2 Qxc3 Qxd5 g5 Qe5+ Kg6 Qe6+ Kh5 Qxb6 f4 d5 Qd2+ Kf1 Qxd5 Qxa6 c3 Qe2+ Kg6 Qc2+ Kh5 Qxc3 Qd1+ Kf2 Qxa4 Qf3+ Kg6 Qd3+ Kh5 Qf3+ g4 Qd5+ Kh4 Qd8+ Kh5 Qe8+ Kh4 Qxa4 g3+ Kg1 gxh2+ Kxh2 Kg4 Qe4 h5 Kg1 h4 Kf2 h3 Qf3+ Kh4 Qxh3+ Kg5 Qe6 Kh5 Qe4 Kg4 Qf3+ Kf5,B00,Owen Defense,2
Ielcto2n,True,1504381688816.0,1504382674767.0,92,outoftime,black,10+0,will_sun,1506,kn89,1558,e4 e5 Bb5 a6 Ba4 Nf6 d3 b5 Bb3 Nc6 Bg5 Be7 Bxf6 Bxf6 Nc3 O-O Nf3 Bb7 Bd5 h6 h3 Qc8 Bb3 d6 Nd5 Qd8 Qe2 Nd4 Nxd4 exd4 Qh5 Re8 Nb6 cxb6 Bxf7+ Kh7 Qg6+ Kh8 Bxe8 Qxe8 Qxe8+ Rxe8 O-O-O b4 b3 a5 a4 Be5 g3 Rf8 f4 Bf6 Rhf1 Be7 g4 d5 e5 Kg8 f5 Bd8 Rf4 Bc7 Re1 Kf7 e6+ Kf6 Rxd4 Re8 Rf1 Kg5 c4 dxc4 dxc4 Kh4 g5+ Kxg5 h4+ Kf6 Rd7 Bg2 Rf7+ Ke5 Re1+ Kd4 Rxc7 Kc3 Re3+ Kd4 Re2 Bf3 Rd2+ Ke5,C20,Portuguese Opening,3
SyoWSOx7,True,1504379719728.0,1504379981788.0,21,outoftime,white,10+0,kn89,1535,romansad,1580,e4 e5 Nf3 d5 exd5 Qxd5 Nc3 Qe6 b3 Be7 Bc4 Qd6 O-O Nf6 h3 O-O Bb2 e4 Nb5 Qc5 Bxf6,C40,Elephant Gambit,4
IxKyt8ei,True,1504338736109.0,1504339884426.0,78,outoftime,black,10+0,zharar,1542,kn89,1535,e4 e5 Nf3 Nc6 Bc4 Nf6 O-O Bc5 c3 O-O a4 a5 Re1 d5 exd5 Nxd5 Nxe5 Nxe5 Rxe5 c6 Qf3 Re8 d4 Rxe5 dxe5 Be6 Nd2 Be3 fxe3 Nxe3 Qxe3 Bxc4 Nxc4 Qd1+ Kf2 Qc2+ Kf3 Qf5+ Qf4 Qd3+ Ne3 Re8 Qe4 Qd7 Ng4 Kh8 Bf4 f5 exf6 Rxe4 Kxe4 Qxg4 Re1 Qg6+ Kf3 Qd3+ Kg4 gxf6 Re8+ Kg7 Re7+ Kg6 h4 Qf5+ Kf3 Qd5+ Kg3 Qd3+ Re3 Qd5 h5+ Kxh5 Re7 Qd3+ Be3 Qd6+ Bf4 Qxe7,C53,Italian Game: Classical Variation |  Albin Gambit,9
HWgmHGCl,True,1504198145325.0,1504199211144.0,105,outoftime,white,10+0,kn89,1567,pantrohf,1522,e4 e5 Nf3 d6 Nc3 c6 Be2 Be7 O-O Nf6 h3 Be6 d4 Qc8 dxe5 dxe5 Nxe5 Bxh3 gxh3 Qxh3 Bg5 O-O Bg4 Nxg4 Bxe7 Nxe5 Bxf8 Nf3+ Qxf3 Qxf3 Ba3 Nd7 Rad1 Ne5 Rfe1 Qg4+ Kf1 Nf3 Re3 Nh2+ Ke1 Qg1+ Ke2 Qg4+ Kd2 Nf3+ Kc1 h5 Kb1 h4 Rh1 h3 Bd6 Qg2 Rd1 h2 Bxh2 Nxh2 Ree1 Qxf2 Rh1 Qg3 Rd3 Qe5 Rh3 f6 R3xh2 b5 Rh8+ Kf7 Rxa8 Qf4 Rxa7+ Kg6 Rg1+ Kh6 Raxg7 Qg5 R7xg5 fxg5 Nxb5 cxb5 c3 Kg6 b3 Kf6 a4 bxa4 bxa4 Ke5 Kb2 Kxe4 Kb3 Kd5 a5 Kc6 Kb4 Kb7 Rxg5 Ka6 Rg6+ Kb7 Kb5 Kc7 a6,C41,Philidor Defense #2,4
fgEVm2SN,True,1503912129830.0,1503913027698.0,59,outoftime,white,10+0,enesbatu,1558,engki,1546,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 b6 Nc3 Bc5 Qd1 Qf6 Qe2 Bb7 g3 O-O-O Bg2 Re8 O-O h5 h4 g5 Bxg5 Qe5 a3 f6 Bf4 Qe6 b4 Bd4 Qd3 Bxc3 Qxc3 d6 Qd3 Ne7 Rfe1 Rhg8 Bd2 Ng6 f4 Rd8 f5 Qe5 fxg6 Rxg6 Bf4 Qe6 Kh2 d5 exd5 Qf7 c4 f5 Rad1 Qf6 Bg5,C45,Scotch Game,7
cgviKNh8,True,1503364636917.0,1503365276876.0,101,outoftime,white,10+0,gambitingaddict,1891,eru_roraito,1702,e4 c5 d4 cxd4 Bd3 e5 f4 Nc6 Nf3 d6 f5 g6 fxg6 hxg6 O-O Bg4 h3 Bd7 Nbd2 Qc8 Ng5 f6 Qf3 Qc7 Bc4 O-O-O Bxg8 fxg5 Bd5 Bg7 Nb3 Rdf8 Qg3 Rxf1+ Kxf1 Nb4 Bxg5 Nxd5 exd5 Bb5+ Kg1 Kb8 c4 dxc3 bxc3 Qb6+ Be3 Qc7 Rc1 Bd7 Qxg6 Be8 Qg3 Bb5 c4 Bd7 c5 dxc5 Nxc5 Qd6 Rd1 Bf6 Ne6 Bxe6 Bxa7+ Kxa7 Qe3+ Kb8 Qb3 Bf5 Qf3 Bc2 Rd2 Ba4 Rb2 Qc5+ Rf2 Qd6 Qxf6 Qxf6 Rxf6 Rd8 d6 Ka7 g4 Bd7 g5 Kb6 h4 Kc6 g6 Kd5 h5 e4 g7 e3 h6 e2 Kf2 Re8 Ke1,B21,Sicilian Defense: Smith-Morra Gambit #2,3
HVG3gobh,True,1503049420530.0,1503050667415.0,93,outoftime,white,10+0,krusteevs,1592,eru_roraito,1677,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Bd3 Nc6 c3 Nf6 O-O h6 Nxc6 bxc6 e5 Nd5 c4 Ne7 f4 Nf5 Qg4 Bc5+ Kh1 h5 Qe2 h4 Bxf5 exf5 h3 Bb7 Be3 Be7 Nc3 g5 Rad1 g4 hxg4 h3 g3 fxg4 Qxg4 c5+ Kg1 h2+ Kf2 h1=Q Rxh1 Bxh1 Rxh1 Rxh1 Qg8+ Bf8 Bxc5 d6 Bxd6 Kd7 Qxf7+ Be7 Nd5 Qf8 Qxf8 Rxf8 Bxe7 Rb8 Bd6 Rh2+ Ke3 Rbxb2 Nf6+ Ke6 Kd4 Rxa2 Kc5 Rab2 Ne4 a5 g4 a4 f5+ Kd7 e6+ Kc8 Kc6 Rh8 Bc7 Rd2 c5 a3 Nd6+ Rxd6+ cxd6,B42,Sicilian Defense: Kan Variation |  Modern Variation,9
